LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
9,0.0509925,0.031608,0.00262309,0.0025,0,-182387,-0.662766,0.748387,-0.0256656,-182387,-41802.7,-3.64309e-13,0.662766,-0.748387,0.0256656,-0.722328,-0.68339,-0.105926,-0.0969474,-0.0516415,0.993949,starting,
15,0.104386,0.0791324,0.00265913,0.0025,1,-75152.6,0.102795,0.993864,-0.0408424,5.50104e-13,-75152.6,4.25172e-14,0.998612,-0.0526233,0.00216253,-0.102795,-0.993864,0.0408424,0.538623,0.00737195,0.842515,starting,
16,0.0425739,0.0775379,0.00281331,0.0025,2,-4536.85,0.937443,0.348138,0.00102008,-4536.85,-5.25461e-14,2.13734e-19,-0.937443,-0.348138,-0.00102008,-0.315002,0.949087,0.00278091,0.000322597,-0.00281028,0.999996,starting,
47,0.00953442,0.0128244,0.00255125,0.0025,3,-18507,0.937789,-0.345105,0.0381273,-18507,0,2.65665e-15,-0.937789,0.345105,-0.0381273,0.381131,0.91893,-0.101524,-0.368211,-0.864035,0.343314,starting,
55,0.0126178,0.0811609,0.00265748,0.0025,4,-99431.7,-0.17285,0.98467,0.02339,9.64043e-13,-99431.7,-7.96298e-15,0.98733,0.158636,0.00376827,0.17285,-0.98467,-0.02339,-0.0246596,-0.027893,0.999307,starting,
64,0.0564475,0.0436731,0.00274415,0.0025,5,-262148,0.907192,-0.420326,-0.0181184,-262148,-9168.91,-4.29981e-13,-0.907192,0.420326,0.0181184,-0.436077,-0.89081,0.127651,-0.0815871,-0.124118,-0.988908,starting,
67,0.0201081,0.131547,0.00296645,0.0025,6,-47295.9,0.721966,0.690746,-0.0404448,-47295.9,-1.97214e-12,-1.99587e-14,-0.721966,-0.690746,0.0404448,-0.720994,0.691756,-0.040504,0.00552738,0.0486221,0.998802,starting,
68,0.070177,0.0132721,0.00286202,0.0025,7,-240934,-0.398887,-0.916786,0.0198305,-240934,-11604.6,-8.82266e-15,0.398887,0.916786,-0.0198305,0.915693,-0.40159,0.015212,-0.00588159,0.0241688,0.999691,starting,
85,0.109265,0.0423101,0.00274224,0.0025,8,-149138,-0.0101956,-0.999859,-0.0133233,-17633.8,5.87614e-12,-149138,-0.99262,-0.00969386,-0.120879,0.120448,0.0119743,-0.992647,0.0101956,0.999859,0.0133233,starting,
86,0.128139,0.0978168,0.00263312,0.0025,9,-113769,0.910409,0.407085,0.0737348,-113769,-0,1.98876e-13,-0.910409,-0.407085,-0.0737348,-0.395558,0.903736,0.163693,-0.329624,0.641696,0.692514,starting,
