LiggghtsId,X,Y,Z,radius,chainId,minorStress,minorDirX,minorDirY,minorDirZ,PrincipleStress0,PrincipleStress1,PrincipleStress2,StressDir00,StressDir10,StressDir20,StressDir01,StressDir11,StressDir21,StressDir02,StressDir12,StressDir22,linkNodes,
1,0.0421785,0.104767,0.00287407,0.0025,0,-186429,-0.409965,0.912056,0.00909017,-186429,-56144.4,2.5689e-13,0.409965,-0.912056,-0.00909017,-0.719206,-0.685796,-0.111476,-0.104269,-0.0849039,0.990918,starting,
3,0.0806037,0.0760842,0.00280303,0.0025,1,-41943.9,0.979665,-0.196781,-0.0391623,-41943.9,-1.09587e-12,-1.87213e-14,-0.979665,0.196781,0.0391623,0.19504,0.961931,0.191438,0.020306,-0.0880862,0.995906,starting,
9,0.0526465,0.0347997,0.00259805,0.0025,2,-220636,0.757009,-0.65218,0.0399975,-220636,-170255,-276.982,-0.757009,0.65218,-0.0399975,0.338765,0.940804,0.0111975,-0.0514545,0.0202835,0.998469,starting,
11,0.0759152,0.0490504,0.00262877,0.0025,3,-122032,-0.0144116,0.999539,-0.0267276,-2.99478e-15,-122032,1.32136e-14,0.999892,0.0147079,-0.00039329,0.0144116,-0.999539,0.0267276,0.503235,0.0307405,0.863603,starting,
13,0.0924899,0.124188,0.00278632,0.0025,4,-261345,0.471684,-0.881535,0.0202737,-261345,-59705.1,-394.147,-0.471684,0.881535,-0.0202737,0.87671,0.480756,0.0159003,-0.0107703,0.0118927,0.999871,starting,
14,0.0758771,0.106532,0.00275367,0.0025,5,-122738,0.576072,0.817315,0.0117357,5.17566e-12,-122738,-2.03586e-15,0.814924,-0.579508,-0.00832109,-0.576072,-0.817315,-0.0117357,0.0112021,-0.0228994,0.999675,starting,
15,0.101874,0.0788421,0.00265007,0.0025,6,-180138,-0.541776,-0.839538,0.0406732,-89774.7,-180138,-6.13343e-13,-0.993626,0.112662,0.00394798,0.541776,0.839538,-0.0406732,7.66883e-05,0.0473349,0.998879,starting,
16,0.0451498,0.0772121,0.00281331,0.0025,7,-179645,-0.877743,-0.479126,0.00214997,-179645,-65877.7,-3.84159e-14,0.877743,0.479126,-0.00214997,0.285942,-0.95781,0.0289222,-0.00835803,0.0271757,0.999596,starting,
17,0.075757,0.0403795,0.00252253,0.0025,8,-157647,0.772775,-0.634361,-0.0201038,-157647,0,1.07392e-14,-0.772775,0.634361,0.0201038,0.598291,0.800877,0.025381,-0.596785,-0.801511,0.0377866,starting,
18,0.0995862,0.0575804,0.00278306,0.0025,9,-122024,0.426008,0.904708,0.00461742,-122024,-20359.4,6.5401e-16,-0.426008,-0.904708,-0.00461742,-0.89168,0.452565,-0.00958684,-0.0109704,7.56668e-05,0.99994,starting,
20,0.0700147,0.0790481,0.00256489,0.0025,10,-165839,0.986066,-0.163846,0.0287755,-165839,-9731.93,5.72098e-14,-0.986066,0.163846,-0.0287755,-0.197033,-0.965437,-0.170617,0.0544659,0.15731,-0.986046,starting,
27,0.0459187,0.0724134,0.0029502,0.0025,11,-109588,0.403719,-0.914831,-0.00977897,-109588,-3271.46,-1.74399e-13,-0.403719,0.914831,0.00977897,-0.906057,-0.296526,0.301883,-0.248621,-0.0674006,-0.966253,starting,
30,0.126818,0.019575,0.00274227,0.0025,12,-284076,-0.660815,-0.750528,0.00553797,-284076,-45146.7,-286.614,0.660815,0.750528,-0.00553797,0.649996,-0.759846,0.01176,0.0301489,-0.0199887,0.999346,starting,
31,0.0944956,0.0194462,0.00284492,0.0025,13,-128654,-0.988624,0.149171,-0.0192769,-128654,-64574.4,1.46182e-12,0.988624,-0.149171,0.0192769,0.254727,0.966925,0.0130079,0.0358865,0.00691951,-0.999332,starting,
34,0.0520628,0.101635,0.00289696,0.0025,14,-142246,-0.63937,0.768881,0.0052839,1.55718e-11,-142246,1.05862e-15,0.759889,0.650038,0.00446719,0.63937,-0.768881,-0.0052839,0.00317985,-0.00304286,0.99999,starting,
37,0.0319511,0.0552184,0.00280216,0.0025,15,-4127.5,-0.283665,0.958811,-0.0146921,-7.32763e-14,-4127.5,-4.10264e-16,0.969636,0.244524,-0.0037469,0.283665,-0.958811,0.0146921,-0.0971793,-0.0101171,0.995215,starting,
